pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y
346.220000,219.880000,361.930000,414.030000,346.149163,273.099429,350.940804,326.633147,347.244395,284.674287,348.834798,293.958938,349.290630,304.396677,349.776515,310.712155,350.071970,320.408799
348.490000,226.810000,363.950000,414.030000,349.708668,278.163429,352.172940,325.427433,349.845572,289.256002,350.088336,295.364019,351.455832,305.400306,351.844697,310.712155,352.140152,318.074422
352.270000,225.950000,367.980000,414.020000,351.351516,276.957715,355.595541,323.980576,353.815788,287.809144,353.962908,295.364019,354.874572,303.192323,354.799242,310.173453,354.799242,316.458315
356.660000,229.180000,369.890000,414.010000,359.155045,281.057144,361.208606,324.704004,358.881237,291.908573,359.774767,298.977082,360.344557,305.601032,360.117424,311.250858,360.708333,318.253990
361.110000,230.910000,362.920000,414.010000,360.797894,285.397716,361.345510,325.186290,361.496212,294.910216,361.712053,299.980711,362.053927,306.604660,362.185606,311.609993,361.299242,318.613125
364.200000,226.130000,358.920000,414.030000,362.851454,280.333715,362.577646,324.704004,362.440742,291.426287,361.712053,299.579259,362.623717,306.002483,362.284091,311.609993,361.890152,317.715287
363.920000,229.000000,361.040000,414.030000,361.345510,281.780572,362.440742,323.739433,361.594697,293.832811,361.484137,301.185065,361.598095,307.206838,361.693182,311.609993,361.791667,318.253990
363.850000,220.940000,364.020000,414.030000,362.166934,270.929143,362.030030,323.739433,362.577646,287.568001,362.509759,296.969825,362.623717,304.998854,362.481061,311.071290,362.382576,318.253990
362.230000,224.220000,363.970000,414.020000,360.387182,276.716572,362.030030,323.739433,360.797894,289.738287,361.370179,297.772728,361.028305,307.407563,361.693182,312.687397,361.299242,319.151827
361.910000,217.610000,363.980000,414.020000,360.797894,269.723429,362.851454,323.980576,362.030030,281.298287,361.484137,293.356761,361.712053,306.002483,362.284091,312.866965,362.185606,319.870097
